OnsetTime	OffsetTime	MidiPitch
0.500004	0.80001	21
0.810014	1.11002	22
1.12002	1.42003	23
1.43003	1.73004	24
1.74004	2.04005	25
2.05005	2.35006	26
2.36006	2.66007	27
2.67007	2.97008	28
2.98008	3.28009	29
3.29009	3.5901	30
3.6001	3.90011	31
3.91011	4.21012	32
4.22012	4.52013	33
4.53013	4.83014	34
4.84014	5.14015	35
5.15015	5.45016	36
5.46016	5.76017	37
5.77017	6.07018	38
6.08018	6.38019	39
6.39019	6.6902	40
6.7002	7.00021	41
7.01021	7.31022	42
7.32022	7.62023	43
7.63023	7.93024	44
7.94024	8.24025	45
8.25025	8.55026	46
8.56026	8.86027	47
8.87027	9.17028	48
9.18028	9.48029	49
9.49029	9.7903	50
9.8003	10.1003	51
10.1103	10.4103	52
10.4203	10.7203	53
10.7303	11.0303	54
11.0403	11.3403	55
11.3504	11.6504	56
11.6604	11.9604	57
11.9704	12.2704	58
12.2804	12.5804	59
12.5904	12.8904	60
12.9004	13.2004	61
13.2104	13.5104	62
13.5204	13.8204	63
13.8304	14.1304	64
14.1404	14.4404	65
14.4505	14.7505	66
14.7605	15.0605	67
15.0705	15.3705	68
15.3805	15.6805	69
15.6905	15.9905	70
16.0005	16.3005	71
16.3105	16.6105	72
16.6205	16.9205	73
16.9305	17.2305	74
17.2405	17.5405	75
17.5505	17.8506	76
17.8606	18.1606	77
18.1706	18.4706	78
18.4806	18.7806	79
18.7906	19.0906	80
19.1006	19.4006	81
19.4106	19.7106	82
19.7206	20.0206	83
20.0306	20.3306	84
20.3406	20.6406	85
20.6506	20.9507	86
20.9607	21.2607	87
21.2707	21.5707	88
21.5807	21.8807	89
21.8907	22.1907	90
22.2007	22.5007	91
22.5107	22.8107	92
22.8207	23.1207	93
23.1307	23.4307	94
23.4407	23.7407	95
23.7507	24.0508	96
24.0608	24.3608	97
24.3708	24.6708	98
24.6808	24.9808	99
24.9908	25.2908	100
25.3008	25.6008	101
25.6108	25.9108	102
25.9208	26.2208	103
26.2308	26.5308	104
26.5408	26.8408	105
26.8508	27.1509	106
27.1609	27.4609	107
27.4709	27.7709	108
27.7809	28.0809	108
28.0909	28.3909	107
28.4009	28.7009	106
28.7109	29.0109	105
29.0209	29.3209	104
29.3309	29.6309	103
29.6409	29.9409	102
29.9509	30.251	101
30.261	30.561	100
30.571	30.871	99
30.881	31.181	98
31.191	31.491	97
31.501	31.801	96
31.811	32.111	95
32.121	32.421	94
32.431	32.731	93
32.741	33.041	92
33.051	33.3511	91
33.3611	33.6611	90
33.6711	33.9711	89
33.9811	34.2811	88
34.2911	34.5911	87
34.6011	34.9011	86
34.9111	35.2111	85
35.2211	35.5211	84
35.5311	35.8311	83
35.8411	36.1411	82
36.1511	36.4512	81
36.4612	36.7612	80
36.7712	37.0712	79
37.0812	37.3812	78
37.3912	37.6912	77
37.7012	38.0012	76
38.0112	38.3112	75
38.3212	38.6212	74
38.6312	38.9312	73
38.9412	39.2412	72
39.2512	39.5512	71
39.5613	39.8613	70
39.8713	40.1713	69
40.1813	40.4813	68
40.4913	40.7913	67
40.8013	41.1013	66
41.1113	41.4113	65
41.4213	41.7213	64
41.7313	42.0313	63
42.0413	42.3413	62
42.3513	42.6513	61
42.6614	42.9614	60
42.9714	43.2714	59
43.2814	43.5814	58
43.5914	43.8914	57
43.9014	44.2014	56
44.2114	44.5114	55
44.5214	44.8214	54
44.8314	45.1314	53
45.1414	45.4414	52
45.4514	45.7514	51
45.7615	46.0615	50
46.0715	46.3715	49
46.3815	46.6815	48
46.6915	46.9915	47
47.0015	47.3015	46
47.3115	47.6115	45
47.6215	47.9215	44
47.9315	48.2315	43
48.2415	48.5415	42
48.5515	48.8515	41
48.8616	49.1616	40
49.1716	49.4716	39
49.4816	49.7816	38
49.7916	50.0916	37
50.1016	50.4016	36
50.4116	50.7116	35
50.7216	51.0216	34
51.0316	51.3316	33
51.3416	51.6416	32
51.6516	51.9516	31
51.9617	52.2617	30
52.2717	52.5717	29
52.5817	52.8817	28
52.8917	53.1917	27
53.2017	53.5017	26
53.5117	53.8117	25
53.8217	54.1217	24
54.1317	54.4317	23
54.4417	54.7417	22
54.7517	55.0517	21
