OnsetTime	OffsetTime	MidiPitch
0.500004	0.600011	21
0.610015	0.710021	22
0.720026	0.820032	23
0.830037	0.930043	24
0.940048	1.04005	25
1.05006	1.15006	26
1.16007	1.26008	27
1.27008	1.37009	28
1.38009	1.4801	29
1.4901	1.59011	30
1.60011	1.70012	31
1.71012	1.81013	32
1.82013	1.92014	33
1.93015	2.03015	34
2.04016	2.14016	35
2.15017	2.25017	36
2.26018	2.36018	37
2.37019	2.4702	38
2.4802	2.58021	39
2.59021	2.69022	40
2.70022	2.80023	41
2.81023	2.91024	42
2.92024	3.02025	43
3.03025	3.13026	44
3.14027	3.24027	45
3.25028	3.35028	46
3.36029	3.46029	47
3.4703	3.5703	48
3.58031	3.68032	49
3.69032	3.79033	50
3.80033	3.90034	51
3.91034	4.01035	52
4.02035	4.12036	53
4.13036	4.23037	54
4.24037	4.34038	55
4.35038	4.45039	56
4.4604	4.5604	57
4.57041	4.67041	58
4.68042	4.78042	59
4.79043	4.89043	60
4.90044	5.00045	61
5.01045	5.11046	62
5.12046	5.22047	63
5.23047	5.33048	64
5.34048	5.44049	65
5.45049	5.5505	66
5.5605	5.66051	67
5.67052	5.77052	68
5.78053	5.88053	69
5.89054	5.99054	70
6.00055	6.10055	71
6.11056	6.21057	72
6.22057	6.32058	73
6.33058	6.43059	74
6.44059	6.5406	75
6.5506	6.65061	76
6.66061	6.76062	77
6.77062	6.87063	78
6.88064	6.98064	79
6.99065	7.09065	80
7.10066	7.20066	81
7.21067	7.31067	82
7.32068	7.42068	83
7.43069	7.5307	84
7.5407	7.64071	85
7.65071	7.75072	86
7.76072	7.86073	87
7.87073	7.97074	88
7.98074	8.08075	89
8.09075	8.19076	90
8.20077	8.30077	91
8.31078	8.41078	92
8.42079	8.52079	93
8.5308	8.6308	94
8.64081	8.74082	95
8.75082	8.85083	96
8.86083	8.96084	97
8.97084	9.07085	98
9.08085	9.18086	99
9.19086	9.29087	100
9.30087	9.40088	101
9.41089	9.51089	102
9.5209	9.6209	103
9.63091	9.73091	104
9.74092	9.84092	105
9.85093	9.95093	106
9.96094	10.0609	107
10.071	10.171	108
10.181	10.281	108
10.291	10.391	107
10.401	10.501	106
10.511	10.611	105
10.621	10.721	104
10.731	10.831	103
10.841	10.941	102
10.951	11.051	101
11.061	11.1611	100
11.1711	11.2711	99
11.2811	11.3811	98
11.3911	11.4911	97
11.5011	11.6011	96
11.6111	11.7111	95
11.7211	11.8211	94
11.8311	11.9311	93
11.9411	12.0411	92
12.0511	12.1512	91
12.1612	12.2612	90
12.2712	12.3712	89
12.3812	12.4812	88
12.4912	12.5912	87
12.6012	12.7012	86
12.7112	12.8112	85
12.8212	12.9212	84
12.9312	13.0312	83
13.0412	13.1413	82
13.1513	13.2513	81
13.2613	13.3613	80
13.3713	13.4713	79
13.4813	13.5813	78
13.5913	13.6913	77
13.7013	13.8013	76
13.8113	13.9113	75
13.9213	14.0213	74
14.0313	14.1313	73
14.1414	14.2414	72
14.2514	14.3514	71
14.3614	14.4614	70
14.4714	14.5714	69
14.5814	14.6814	68
14.6914	14.7914	67
14.8014	14.9014	66
14.9114	15.0114	65
15.0214	15.1214	64
15.1315	15.2315	63
15.2415	15.3415	62
15.3515	15.4515	61
15.4615	15.5615	60
15.5715	15.6715	59
15.6815	15.7815	58
15.7915	15.8915	57
15.9015	16.0015	56
16.0115	16.1115	55
16.1215	16.2216	54
16.2316	16.3316	53
16.3416	16.4416	52
16.4516	16.5516	51
16.5616	16.6616	50
16.6716	16.7716	49
16.7816	16.8816	48
16.8916	16.9916	47
17.0016	17.1016	46
17.1116	17.2117	45
17.2217	17.3217	44
17.3317	17.4317	43
17.4417	17.5417	42
17.5517	17.6517	41
17.6617	17.7617	40
17.7717	17.8717	39
17.8817	17.9817	38
17.9917	18.0917	37
18.1017	18.2018	36
18.2118	18.3118	35
18.3218	18.4218	34
18.4318	18.5318	33
18.5418	18.6418	32
18.6518	18.7518	31
18.7618	18.8618	30
18.8718	18.9718	29
18.9818	19.0818	28
19.0918	19.1918	27
19.2019	19.3019	26
19.3119	19.4119	25
19.4219	19.5219	24
19.5319	19.6319	23
19.6419	19.7419	22
19.7519	19.8519	21
