OnsetTime	OffsetTime	MidiPitch
0.501694	2.11932	60
0.704402	2.32203	64
0.90711	1.5112	67
1.10982	1.71391	72
1.31249	1.91661	76
1.5112	2.52474	67
1.71391	2.72745	72
1.91661	2.93015	76
2.11932	3.73286	60
2.32203	3.74807	64
2.52474	3.13284	67
2.72745	3.33283	72
2.93015	3.53283	76
3.13284	3.74807	67
3.33283	3.74807	72
3.53283	3.74807	76
3.73286	5.32274	60
3.93557	5.52141	62
4.13828	4.73062	69
4.34093	4.92799	74
4.53826	5.12536	77
4.73062	5.72008	69
4.92799	5.91873	74
5.12536	6.1135	77
5.32274	6.90921	60
5.52141	6.90921	62
5.72008	6.30341	69
5.91873	6.49822	74
6.1135	6.69309	77
6.30341	6.90921	69
6.49822	6.90921	74
6.69309	6.90921	77
6.89579	8.46655	59
7.09713	8.66789	62
7.29847	7.88207	67
7.49976	8.07687	74
7.6945	8.27168	77
7.88207	8.86923	67
8.07687	9.07054	74
8.27168	9.26787	77
8.46655	10.075	59
8.66789	10.075	62
8.86923	9.46022	67
9.07054	9.65759	74
9.26787	9.85505	77
9.46022	10.075	67
9.65759	10.075	74
9.85505	10.075	77
10.0619	11.6412	60
10.2592	11.8386	64
10.4566	11.0424	67
10.654	11.2398	72
10.8513	11.4372	76
11.0424	12.036	67
11.2398	12.2333	72
11.4372	12.4307	76
11.6412	13.2152	60
11.8386	13.227	64
12.036	12.623	67
12.2333	12.8204	72
12.4307	13.0178	76
12.623	13.227	67
12.8204	13.227	72
13.0178	13.227	76
13.2152	14.8012	60
13.4179	15.0039	64
13.6206	14.2129	69
13.8233	14.409	76
14.0206	14.6051	81
14.2129	15.2066	69
14.409	15.4093	76
14.6051	15.6053	81
14.8012	16.3912	60
15.0039	16.401	64
15.2066	15.7977	69
15.4093	15.9938	76
15.6053	16.1899	81
15.7977	16.401	69
15.9938	16.401	76
16.1899	16.401	81
16.3912	17.951	60
16.5872	18.1524	62
16.7833	17.3666	66
16.9794	17.5614	69
17.1755	17.7562	74
17.3666	18.3537	66
17.5614	18.5551	69
17.7562	18.7564	74
17.951	19.5477	60
18.1524	19.5477	62
18.3537	18.9512	66
18.5551	19.146	69
18.7564	19.3409	74
18.9512	19.546	66
19.146	19.546	69
19.3409	19.5477	74
19.5477	21.1272	59
19.7477	21.3272	62
19.9477	20.5348	67
20.1477	20.7296	74
20.3424	20.9245	79
20.5348	21.5272	67
20.7296	21.7271	74
20.9245	21.9206	79
21.1272	22.7083	59
21.3272	22.7284	62
21.5272	22.1142	67
21.7271	22.3077	74
21.9206	22.5014	79
22.1142	22.7284	67
22.3077	22.7284	74
22.5014	22.7284	79
22.7083	24.2969	59
22.9096	24.493	60
23.1109	23.7071	64
23.3123	23.9006	67
23.5135	24.0943	72
23.7071	24.6891	64
23.9006	24.8851	67
24.0943	25.0812	72
24.2969	25.8836	59
24.493	25.8836	60
24.6891	25.2748	64
24.8851	25.4683	67
25.0812	25.662	72
25.2748	25.8836	64
25.4683	25.8836	67
25.662	25.8836	72
25.8688	27.4637	57
26.0661	27.6624	60
26.2635	26.8557	64
26.4609	27.0584	67
26.6583	27.2611	72
26.8557	27.8611	64
27.0584	28.0598	67
27.2611	28.2584	72
27.4637	29.0996	57
27.6624	29.0996	60
27.8611	28.4572	64
28.0598	28.6612	67
28.2584	28.8654	72
28.4572	29.0996	64
28.6612	29.0996	67
28.8654	29.0996	72
29.0843	30.6965	50
29.2884	30.9006	57
29.4924	30.0965	62
29.6965	30.2965	66
29.8965	30.4965	72
30.0965	31.1047	62
30.2965	31.3087	66
30.4965	31.5074	72
30.6965	32.3235	50
30.9006	32.3235	57
31.1047	31.7061	62
31.3087	31.9047	66
31.5074	32.1035	72
31.7061	32.3235	62
31.9047	32.3235	66
32.1035	32.3235	72
32.3103	33.8893	55
32.509	34.088	59
32.7077	33.3011	62
32.9063	33.4972	67
33.105	33.6932	71
33.3011	34.2867	62
33.4972	34.4853	67
33.6932	34.684	71
33.8893	35.4698	55
34.088	35.4798	59
34.2867	34.8788	62
34.4853	35.0736	67
34.684	35.2684	71
34.8788	35.4798	62
35.0736	35.4798	67
35.2684	35.4798	71
35.4698	37.0559	55
35.6685	37.2545	58
35.8672	36.4593	64
36.0659	36.6541	67
36.2645	36.849	73
36.4593	37.4532	64
36.6541	37.6519	67
36.849	37.8505	73
37.0559	38.6656	55
37.2545	38.6656	58
37.4532	38.047	64
37.6519	38.2431	67
37.8505	38.4393	73
38.047	38.6656	64
38.2431	38.6656	67
38.4393	38.6656	73
38.6448	40.2334	53
38.853	40.432	57
39.0517	39.6451	62
39.2504	39.8412	69
39.449	40.0373	74
39.6451	40.6307	62
39.8412	40.8294	69
40.0373	41.028	74
40.2334	41.8246	53
40.432	41.838	57
40.6307	41.2241	62
40.8294	41.4202	69
41.028	41.6164	74
41.2241	41.838	62
41.4202	41.838	69
41.6164	41.838	74
41.8246	43.409	53
42.0246	43.609	56
42.2246	42.8207	62
42.4246	43.0168	65
42.6246	43.2129	71
42.8207	43.809	62
43.0168	44.009	65
43.2129	44.2089	71
43.409	45.0244	53
43.609	45.0244	56
43.809	44.405	62
44.009	44.6011	65
44.2089	44.7973	71
44.405	45.0244	62
44.6011	45.0244	65
44.7973	45.0244	71
45.0027	46.5756	52
45.2027	46.7742	55
45.4027	45.9949	60
45.6027	46.1884	67
45.8013	46.382	72
45.9949	46.9729	60
46.1884	47.1716	67
46.382	47.3702	72
46.5756	48.166	52
46.7742	48.1811	55
46.9729	47.565	60
47.1716	47.7598	67
47.3702	47.9548	72
47.565	48.1811	60
47.7598	48.1811	67
47.9548	48.1811	72
48.166	49.7557	52
48.3673	49.957	53
48.5686	49.1674	57
48.77	49.3634	60
48.9713	49.5595	65
49.1674	50.1583	57
49.3634	50.3597	60
49.5595	50.561	65
49.7557	51.376	52
49.957	51.376	53
50.1583	50.7584	57
50.3597	50.9557	60
50.561	51.1532	65
50.7584	51.376	57
50.9557	51.376	60
51.1532	51.376	65
51.3659	52.9746	50
51.5672	53.176	53
51.7686	52.3686	57
51.9699	52.566	60
52.1712	52.7634	65
52.3686	53.3773	57
52.566	53.5786	60
52.7634	53.78	65
52.9746	54.6055	50
53.176	54.6055	53
53.3773	53.9786	57
53.5786	54.1773	60
53.78	54.3761	65
53.9786	54.6055	57
54.1773	54.6055	60
54.3761	54.6055	65
54.5888	56.1995	43
54.7901	56.4008	50
54.9914	55.5955	55
55.1928	55.7968	59
55.3941	55.9982	65
55.5955	56.6022	55
55.7968	56.8035	59
55.9982	57.0049	65
56.1995	57.8258	43
56.4008	57.8258	50
56.6022	57.2062	55
56.8035	57.4075	59
57.0049	57.6089	65
57.2062	57.8258	55
57.4075	57.8258	59
57.6089	57.8258	65
57.8103	59.4377	48
58.0172	59.6431	52
58.2241	58.8336	55
58.4309	59.0349	60
58.6323	59.2363	64
58.8336	59.8486	55
59.0349	60.0541	60
59.2363	60.2541	64
59.4377	61.0541	48
59.6431	61.069	52
